id,first_name,last_name,gender
77,Olaf,Aabye,M
92,Lee,Aaker,M
149,"Bob (I)",Aaron,M
450,Dalton,Abbott,M
475,Jamie,Abbott,M
745,Kusuo,Abe,M
801,Alfred,Abel,M
1097,Abraham,Abraham,M
1107,"F. Murray",Abraham,M
1114,"Jake (II)",Abraham,M
1358,Khosrow,Abrishami,M
1420,Ernest,Abuba,M
1616,Basile,Achara,M
1720,"Don (II)",Ackerman,M
1767,Joseph,Ackler,M
2270,"Ernie (I)",Adams,M
2397,"Martin (I)",Adams,M
2454,"Rob (I)",Adams,M
2478,"Seth (II)",Adams,M
2486,"Stanley (I)",Adams,M
2559,"James (I)",Adamson,M
2699,Wesley,Addy,M
2700,William,Addy,M
2718,Ayo,Adejugbe,M
2898,"Seth (I)",Adkins,M
2922,Bruce,Adler,M
2957,"Jonathan (II)",Adler,M
2981,Roger,Adler,M
3049,Frank,Adonis,M
3091,Bob,Adrian,M
3135,Frank,Adu,M
3225,Ben,Affleck,M
3226,Casey,Affleck,M
3349,Mohan,Agashe,M
3452,Jalal,Agha,M
3841,Doug,Aguirre,M
3855,"José Luis (I)",Aguirre,M
3868,Rueben,Aguirre,M
4174,Ralph,Ahn,M
4217,Tim,Ahonen,M
4325,Danny,Aiello,M
4380,Loclann,Aiken,M
4448,Norman,Ainsley,M
5370,Joe,Alaskey,M
5491,Frank,Albanese,M
5612,Andrew,Albert,M
5626,Eddie,Albert,M
5696,Fritz,Alberti,M
5774,"Frank (I)",Albertson,M
5794,Andy,Albin,M
5871,Kevin,Albridge,M
6097,Edward,Aldag,M
6151,Eric,Alden,M
6163,Norman,Alden,M
6213,Erville,Alderson,M
6214,"George (I)",Alderson,M
6357,Alberto,Alejandrino,M
6571,Anthony,Alessandro,M
6630,"Ben (I)",Alexander,M
6752,"Jack (III)",Alexander,M
6819,Markus,Alexander,M
6870,"Richard (I)",Alexander,M
6920,T.S.,Alexander,M
6936,"Victor (IV)",Alexander,M
6990,Dean,Alexandrou,M
7052,"Erasmus C.",Alfanio,M
7077,Manny,Alfaro,M
7159,Phillip,Alford,M
7692,William,Alland,M
7742,Michael,Alldredge,M
7795,"Bernie (I)",Allen,M
7817,"Carl (I)",Allen,M
7834,Chick,Allen,M
7944,"Gary (I)",Allen,M
8011,Joel,Allen,M
8021,"John Edward",Allen,M
8041,"Keith (I)",Allen,M
8055,"Kevin (I)",Allen,M
8123,"Patrick (I)",Allen,M
8228,"Steve (I)",Allen,M
8251,"Tim (I)",Allen,M
8286,Woody,Allen,M
8360,"George W.",Allf,M
8412,"Bill (I)",Allison,M
8426,"Frankie J.",Allison,M
8480,James,Allodi,M
8588,Loren,Almaguer,M
8930,"Gregory R.",Alosio,M
8963,Murray,Alper,M
9171,Tom,Alter,M
9242,Bob,Altman,M
9259,"John (II)",Altman,M
9265,Phil,Altman,M
9274,Wade,Altman,M
9421,Freddy,Alvarado,M
9783,Masuo,Amada,M
9855,Richard,Amalfitano,M
9866,Eisei,Amamoto,M
9976,August,Amarino,M
10158,Armando,Ambrogi,M
10651,Martin,Amor,M
10867,Rocco,Anacarola,M
10952,Joe,Anastasi,M
10963,Chris,Anastasio,M
11386,"Bob (III)",Anderson,M
11388,Bobbie,Anderson,M
11483,Del,Anderson,M
11486,"Dennis (II)",Anderson,M
11501,"Eddie 'Rochester'",Anderson,M
11517,"Ernest (I)",Anderson,M
11528,"Floyd (II)",Anderson,M
