timestamp,make_conversation,year,first_semester,attend_physically,school,major,majors_minors,height,weight,campus_living,plays_sports,watches_sports,birthday,birthday_dayofweek,excited,experience_R,experience_CS,experience_stats,experience_data,hours_studying,hours_media,siblings,pet,favorite_animal,morning_night,prediction_date,adjectives,skills_desired,random_number,remove_response
2021-08-31T19:24:53Z,Yes,Senior,No,Yes,The College of Arts and Sciences,Humanities / Communications,3,68.5,127,No,No,Yes,July 24,Saturday,5,8,4,5,5,20,14,1,No,samoyed,Night person,2022-03-15T00:00:00Z,"shy, nice, quirky","data analysis, understanding of the mind thinking process",5,No
2021-08-31T22:03:12Z,Yes,Sophomore,Yes,Yes,The College of Arts and Sciences,"Social Sciences / Education, Physical Sciences / Natural Sciences",1,64,NA,Yes,No,No,February 25,Friday,4,4,3,1,2,40,1,3,No,Dog,Night person,2022-08-29T00:00:00Z,"Responsible, mature","Data interpretation, additional R skills",2,No
2021-09-01T02:10:15Z,Maybe,Junior,No,Yes,The College of Arts and Sciences,Physical Sciences / Natural Sciences,2,64,105,Yes,No,No,June 10,NA,4,5,2,3,4,15,20,1,Yes,NA,Neither,NA,NA,NA,4,No
2021-09-01T09:17:31Z,No,Senior,No,No,Penn Engineering,Math / Computer Science / Engineering,2,69,178,Yes,Yes,No,April 28,Thursday,3,6,6,7,7,10,1,1,No,Monkey,Night person,2022-01-09T00:00:00Z,Honest,Data science,4,No
2021-09-01T11:42:06Z,Yes,Senior,No,Yes,The College of Arts and Sciences,Social Sciences / Education,2,61,115,No,No,Yes,March 17,Thursday,4,4,1,6,1,10,15,2,Yes,Pig,Morning person,2022-01-10T00:00:00Z,"Intelligent, caring, generous",I hope to gain data science skills that will help me with analyses for my honors thesis.,2,No
2021-09-01T12:10:22Z,Yes,Sophomore,Yes,Yes,The College of Arts and Sciences,"Humanities / Communications, Social Sciences / Education",2,64,110,Yes,Yes,Yes,June 15,Tuesday,3,1,1,5,6,20,10,2,Yes,Bunnies,Morning person,2022-08-01T00:00:00Z,"Bubbly, resilient",How to code in R and analyze data,4,No
2021-09-01T12:31:54Z,Yes,Sophomore,Yes,Yes,The College of Arts and Sciences,Social Sciences / Education,1,72,135,Yes,No,Yes,March 7,Monday,5,1,5,1,2,4,4,1,Yes,Fish,Night person,2022-04-01T00:00:00Z,"high-maintenance, driven, competitive",I'd like to learn R and more about linguistics,7,No
2021-09-01T12:58:29Z,Yes,Sophomore,Yes,Yes,Penn Engineering,Math / Computer Science / Engineering,2,60,100,Yes,Yes,No,May 25,Wednesday,5,1,4,1,2,20,10,1,Yes,Hummingbird,Morning person,2022-09-01T00:00:00Z,"sarcastic, thoughtful, attentive, energetic",technical skills with R and knowledge about language and the mind!,2,No
2021-09-01T13:34:55Z,Yes,Senior,No,Yes,The College of Arts and Sciences,"Social Sciences / Education, Physical Sciences / Natural Sciences",1,75,NA,No,Yes,Yes,March 29,Tuesday,3,1,1,5,6,25,6,1,Yes,dog,Night person,2022-01-12T00:00:00Z,dedicated,a. general knowledge and foundation of data science,7,No
2021-09-01T13:38:07Z,Yes,Freshman,Yes,Yes,The College of Arts and Sciences,"Humanities / Communications, Math / Computer Science / Engineering",0,70,155,Yes,Yes,No,March 11,Friday,4,1,1,4,3,6,10,1,Yes,Elephant,Morning person,2022-04-22T00:00:00Z,N/A,Primarily to know if I find the field interesting as I may pursue a career in this,6,No
