"","language","age","measure","uni_lemma","words","prop"
"1","American Sign Language",10,"produces","ball","BALL",0
"2","American Sign Language",18,"produces","ball","BALL",0.666666666666667
"3","American Sign Language",21,"produces","ball","BALL",1
"4","American Sign Language",23,"produces","ball","BALL",1
"5","American Sign Language",24,"produces","ball","BALL",1
"6","American Sign Language",27,"produces","ball","BALL",1
"7","American Sign Language",30,"produces","ball","BALL",1
"8","American Sign Language",31,"produces","ball","BALL",1
"9","American Sign Language",32,"produces","ball","BALL",1
"10","American Sign Language",34,"produces","ball","BALL",1
"11","British Sign Language",8,"produces","ball","ball",0
"12","British Sign Language",9,"produces","ball","ball",0
"13","British Sign Language",10,"produces","ball","ball",0
"14","British Sign Language",11,"produces","ball","ball",0.166666666666667
"15","British Sign Language",12,"produces","ball","ball",0
"16","British Sign Language",13,"produces","ball","ball",0
"17","British Sign Language",14,"produces","ball","ball",0.142857142857143
"18","British Sign Language",15,"produces","ball","ball",0.166666666666667
"19","British Sign Language",16,"produces","ball","ball",0.285714285714286
"20","British Sign Language",17,"produces","ball","ball",0.428571428571429
"21","British Sign Language",18,"produces","ball","ball",0.5
"22","British Sign Language",19,"produces","ball","ball",0.5
"23","British Sign Language",20,"produces","ball","ball",0.909090909090909
"24","British Sign Language",21,"produces","ball","ball",0.6
"25","British Sign Language",22,"produces","ball","ball",0.666666666666667
"26","British Sign Language",23,"produces","ball","ball",0.857142857142857
"27","British Sign Language",24,"produces","ball","ball",0.8
"28","British Sign Language",25,"produces","ball","ball",0.571428571428571
"29","British Sign Language",26,"produces","ball","ball",1
"30","British Sign Language",27,"produces","ball","ball",1
"31","British Sign Language",28,"produces","ball","ball",1
"32","British Sign Language",29,"produces","ball","ball",1
"33","British Sign Language",30,"produces","ball","ball",1
"34","British Sign Language",32,"produces","ball","ball",1
"35","British Sign Language",33,"produces","ball","ball",1
"36","British Sign Language",36,"produces","ball","ball",1
"37","Cantonese",16,"produces","ball","波",0.511111111111111
"38","Cantonese",17,"produces","ball","波",0.672131147540984
"39","Cantonese",18,"produces","ball","波",0.772727272727273
"40","Cantonese",19,"produces","ball","波",0.787878787878788
"41","Cantonese",20,"produces","ball","波",0.89041095890411
"42","Cantonese",21,"produces","ball","波",0.875
"43","Cantonese",22,"produces","ball","波",0.888888888888889
"44","Cantonese",23,"produces","ball","波",0.918918918918919
"45","Cantonese",24,"produces","ball","波",0.941176470588235
"46","Cantonese",25,"produces","ball","波",0.984615384615385
"47","Cantonese",26,"produces","ball","波",0.970149253731343
"48","Cantonese",27,"produces","ball","波",1
"49","Cantonese",28,"produces","ball","波",0.96969696969697
"50","Cantonese",29,"produces","ball","波",0.985915492957746
"51","Cantonese",30,"produces","ball","波",1
"52","Croatian",8,"produces","ball","lopta",0
"53","Croatian",9,"produces","ball","lopta",0
"54","Croatian",10,"produces","ball","lopta",0.0454545454545455
"55","Croatian",11,"produces","ball","lopta",0
"56","Croatian",12,"produces","ball","lopta",0.0571428571428571
"57","Croatian",13,"produces","ball","lopta",0.0588235294117647
"58","Croatian",14,"produces","ball","lopta",0.107142857142857
"59","Croatian",15,"produces","ball","lopta",0.125
"60","Croatian",16,"produces","ball","lopta",0.468085106382979
"61","Croatian",17,"produces","ball","lopta",0.2
"62","Croatian",18,"produces","ball","lopta",0.363636363636364
"63","Croatian",19,"produces","ball","lopta",0.523809523809524
"64","Croatian",20,"produces","ball","lopta",0.576923076923077
"65","Croatian",21,"produces","ball","lopta",0.620689655172414
"66","Croatian",22,"produces","ball","lopta",0.75
"67","Croatian",23,"produces","ball","lopta",0.846153846153846
"68","Croatian",24,"produces","ball","lopta",0.833333333333333
"69","Croatian",25,"produces","ball","lopta",0.833333333333333
"70","Croatian",26,"produces","ball","lopta",0.862068965517241
"71","Croatian",27,"produces","ball","lopta",0.92
"72","Croatian",28,"produces","ball","lopta",1
"73","Croatian",29,"produces","ball","lopta",0.928571428571429
"74","Croatian",30,"produces","ball","lopta",1
"75","Danish",8,"produces","ball","bold",0
"76","Danish",9,"produces","ball","bold",0
"77","Danish",10,"produces","ball","bold",0.00549450549450549
"78","Danish",11,"produces","ball","bold",0.02
"79","Danish",12,"produces","ball","bold",0.0265957446808511
"80","Danish",13,"produces","ball","bold",0.0509259259259259
"81","Danish",14,"produces","ball","bold",0.0786516853932584
"82","Danish",15,"produces","ball","bold",0.137931034482759
"83","Danish",16,"produces","ball","bold",0.239554317548747
"84","Danish",17,"produces","ball","bold",0.320809248554913
"85","Danish",18,"produces","ball","bold",0.458100558659218
"86","Danish",19,"produces","ball","bold",0.534626038781163
"87","Danish",20,"produces","ball","bold",0.670391061452514
"88","Danish",21,"produces","ball","bold",0.716101694915254
"89","Danish",22,"produces","ball","bold",0.842553191489362
"90","Danish",23,"produces","ball","bold",0.847368421052632
"91","Danish",24,"produces","ball","bold",0.907407407407407
"92","Danish",25,"produces","ball","bold",0.91304347826087
"93","Danish",26,"produces","ball","bold",0.951456310679612
"94","Danish",27,"produces","ball","bold",0.943181818181818
"95","Danish",28,"produces","ball","bold",0.952631578947368
"96","Danish",29,"produces","ball","bold",0.956043956043956
"97","Danish",30,"produces","ball","bold",0.988439306358382
"98","Danish",31,"produces","ball","bold",0.982857142857143
"99","Danish",32,"produces","ball","bold",0.986013986013986
"100","Danish",33,"produces","ball","bold",0.986754966887417
"101","Danish",34,"produces","ball","bold",1
"102","Danish",35,"produces","ball","bold",0.991150442477876
"103","Danish",36,"produces","ball","bold",1
"104","English (American)",8,"produces","ball","ball",0.0285714285714286
"105","English (American)",9,"produces","ball","ball",0.0212765957446809
"106","English (American)",10,"produces","ball","ball",0.0451612903225806
"107","English (American)",11,"produces","ball","ball",0.127659574468085
"108","English (American)",12,"produces","ball","ball",0.223776223776224
"109","English (American)",13,"produces","ball","ball",0.376623376623377
"110","English (American)",14,"produces","ball","ball",0.484615384615385
"111","English (American)",15,"produces","ball","ball",0.537190082644628
"112","English (American)",16,"produces","ball","ball",0.75417661097852
"113","English (American)",17,"produces","ball","ball",0.798342541436464
"114","English (American)",18,"produces","ball","ball",0.884030418250951
"115","English (American)",19,"produces","ball","ball",0.914634146341463
"116","English (American)",20,"produces","ball","ball",0.952554744525547
"117","English (American)",21,"produces","ball","ball",0.940886699507389
"118","English (American)",22,"produces","ball","ball",0.96
"119","English (American)",23,"produces","ball","ball",0.977099236641221
"120","English (American)",24,"produces","ball","ball",0.963979416809606
"121","English (American)",25,"produces","ball","ball",0.972972972972973
"122","English (American)",26,"produces","ball","ball",0.983425414364641
"123","English (American)",27,"produces","ball","ball",0.979487179487179
"124","English (American)",28,"produces","ball","ball",0.994981179422836
"125","English (American)",29,"produces","ball","ball",0.97979797979798
"126","English (American)",30,"produces","ball","ball",0.993220338983051
"127","English (Australian)",12,"produces","ball","ball",0.140845070422535
"128","English (Australian)",13,"produces","ball","ball",0.171875
"129","English (Australian)",14,"produces","ball","ball",0.414414414414414
"130","English (Australian)",15,"produces","ball","ball",0.478260869565217
