id,name,year,quality
969,"12 Angry Men",1957,1
1711,"2001: A Space Odyssey",1968,1
2136,"3 Ninjas: High Noon at Mega Mountain",1998,0
10830,Alien,1979,1
10920,Aliens,1986,1
11108,"All About Eve",1950,1
11440,"All Quiet on the Western Front",1930,1
12937,Amadeus,1984,1
13789,"American Beauty",1999,1
13978,"American History X",1998,1
14110,"American Ninja V",1993,0
14942,"Amores perros",2000,1
15936,"Anatomy of a Murder",1959,1
17676,"Anne B. Real",2003,0
17760,"Annie Hall",1977,1
18498,"Anus Magillicutty",2003,0
18960,"Apocalypse Now",1979,1
26352,"Baby Geniuses",1999,0
26844,"Back to the Future",1985,1
30182,"Barney's Great Adventure",1998,0
30431,"Barry Lyndon",1975,1
30959,"Batman Begins",2005,1
31274,"Battlefield Earth: A Saga of the Year 3000",2000,0
32178,"Beauty and the Beast",1991,1
33848,"Ben & Arthur",2002,0
33923,Ben-Hur,1959,1
37057,"Big Fish",2003,1
40199,"Blade Runner",1982,1
46169,Braveheart,1995,1
54726,"Car 54, Where Are You?",1994,0
56044,Casablanca,1942,1
56304,Casino,1995,1
58542,"Chairman of the Board",1998,0
62076,Chinatown,1974,1
64729,"Citizen Kane",1941,1
64833,"City Lights",1931,1
70391,"Cool as Ice",1991,0
70404,"Cool Hand Luke",1967,1
82681,"Demon Island",2002,0
85669,"Dial M for Murder",1954,1
86274,"Die Hard",1988,1
86282,"Die Hard Dracula",1998,0
89147,"Dog Day Afternoon",1975,1
90772,"Donnie Darko",2001,1
91758,"Double Indemnity",1944,1
92616,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,1
97342,Ed,1996,0
97765,Eegah,1962,0
104338,"Eternal Sunshine of the Spotless Mind",2004,1
109093,Fargo,1996,1
109590,"Fat Slags",2004,0
112290,"Fight Club",1999,1
113504,"Finding Nemo",2003,1
117874,"Forrest Gump",1994,1
120528,"From Justin to Kelly",2003,0
121538,"Full Metal Jacket",1987,1
123572,Gandhi,1982,1
127627,Gigli,2003,0
129185,Gladiator,2000,1
129439,Glitter,2001,0
130358,"Going Overboard",1989,0
131240,"Gone with the Wind",1939,1
131665,"Good Will Hunting",1997,1
131780,Goodfellas,1990,1
134672,"Groundhog Day",1993,1
141544,Heat,1995,1
144861,"High Noon",1952,1
150629,"Hotel Rwanda",2004,1
151052,"House of the Dead",2003,0
153985,"I Accuse My Parents",1944,0
156234,Ikiru,1952,1
159172,"Indiana Jones and the Last Crusade",1989,1
163288,"It Happened One Night",1934,1
163485,"It's a Wonderful Life",1946,1
163625,"It's Pat",1994,0
