actor_id,movie_id,role,id
77,123572,"Policeman at Chauri Chaura",1
92,144861,Boy,2
149,270971,"Prison guard #1",3
450,328277,"Infant John Connor",4
475,26844,"Scooter Kid #2",5
745,156234,"City Assemblyman",6
801,212097,"Johhan (Joh) Fredersen",7
1097,276085,"King Neptune",8
1107,12937,"Antonio Salieri",9
1107,289558,"Omar Suarez",10
1114,193253,Dean,11
1358,56304,"Jeweler Fences",12
1420,342384,Engineer,13
1616,257459,Flash,14
1720,129439,Peter,15
1767,2136,Doyle,16
2270,163288,"The bag thief",17
2270,163485,"Ed (building & looan deposit ",18
2397,121538,Marine,19
2454,117874,"College Quarterback",20
2478,26352,Duby,21
2486,235062,"Lt. Harding, Nassau County De",22
2559,91758,"Pullman Porter",23
2699,230151,"Nelson Chaney",24
2700,306032,Tyrone,25
2718,186431,"Nigerian Businessman",26
2898,26352,"",27
2922,32178,"Villager/Additional Voices",28
2957,182955,Photographer,29
2981,134672,"Guitar player",30
3049,56304,Rocky,31
3049,131780,"Anthony Stabile",32
3049,270971,Patsy,33
3091,342384,Geologist,34
3135,326155,"Angry Black Man",35
3225,127627,"Larry Gigli",36
3225,131665,"Chuckie Sullivan",37
3226,131665,"Morgan O'Mally",38
3349,123572,"Tyeb Mohammed's Friend",39
3452,123572,"Traveller on Train Roof",40
3841,17676,"Cop #5",41
3855,287712,"El Diablo (Pitch)",42
3868,82681,Pallbearer,43
4174,186431,Doctor,44
4217,324371,"Future Inhabitant",45
4325,241141,"Police Chief Vincent Aiello",46
4380,289109,"Cpl. William Sampson",47
4448,216964,"Billows' assistant",48
5370,117874,"President Richard Nixon",49
5491,131780,"Mob Lawyer",50
5612,31274,"Labour Supervisor",51
5626,280803,"Irving Radovich",52
5696,212097,"Creative human(Man who convin",53
5774,163485,"Sam Wainwright",54
5774,266574,"Tom Cassidy",55
5794,235062,Farmer,56
5871,121538,Marine,57
6097,37057,"Municipal Dump Owner",58
6151,131240,"Rafe Calvert",59
6163,26844,"Lou Curruthers",60
6213,221130,"Handwriting expert",61
6214,85669,"Detective #1",62
6357,163625,"Engagement Party Guest #3",63
6571,131780,"Henry's '60s Crew",64
6630,11440,"Franz Kemmerich",65
6752,64833,"Extra in boxing scene",66
6819,117874,"Vietnam Vetern",67
6870,11440,Westhus,68
6870,216964,Cellmate,69
6920,64833,Doctor,70
6936,64833,"Superstitious boxer",71
6990,30959,"Shadow Warrior",72
7052,131780,"Barbeque Wiseguy",73
7077,131780,"Gambling Doorman",74
7159,334212,"Jeremy 'Jem' Finch",75
7692,64729,"Jerry Thompson",76
7742,289558,Sheffield,77
7795,270971,Comedian,78
7817,267038,"Dead Floyd Wilson",79
7834,129185,"German Leader",80
7944,17760,"School Teacher",81
8011,316323,Policeman,82
8011,319181,"Prop man #2",83
8021,40199,Kaiser,84
8041,337830,Dealer,85
8055,337830,Andreas,86
8123,85669,"Det. Pearson",87
8228,56304,Himself,88
8251,337166,"Buzz Lightyear",89
8286,17760,"Alvy Singer",90
8286,204163,"Isaac Davis",91
8360,56304,"FBI Agent",92
8412,56304,"John Nance",93
8426,56304,"Craps Dealer",94
8480,129439,"Video Director",95
8480,131665,"Security Guard",96
8588,289558,"Dr. Munoz",97
8930,256632,Pirate,98
8963,316323,Boatman,99
9171,123572,"Doctor at Aga Khan Palace",100
9242,131780,"Karen's Father",101
9259,313479,"Rebel pilot",102
9265,216312,"Alley hood #2",103
9274,324371,"Destroyed Future Inhabitant",104
9421,14110,Ramon,105
9783,271915,"",106
9855,56304,"Casino Executive",107
9866,371844,Yahachi,108
9976,123572,Goondas,109
10158,280803,"Man on phone",110
10651,1711,Interviewer,111
10867,130358,Waiter,112
10952,56304,"FBI Agent",113
10963,165961,"Out of Towner",114
11386,313478,"Imperial officer",115
11388,163485,"Little George",116
11483,121538,Marine,117
11486,13789,"Mr. Smiley's Manager",118
11501,131240,"Uncle Peter",119
11517,235062,"Porter on 20th Century",120
11528,270971,"Jimmy Reeves",121
11564,56304,"Security Guard",122
11590,109093,"Victim in the Field",123
11599,334212,"Robert E. Lee 'Bob' Ewell",124
11616,56304,"Parking Valet",125
11633,266574,Charlie,126
11822,250612,"Maj. Saint-Auban",127
11859,117874,Principal,128
12508,112290,Thomas,129
12538,13978,Jason,130
12552,200521,Doc,131
12638,163485,"Mr. Welch (teacher's husband)",132
12638,221130,"Sen. Hodges",133
12987,32178,"Villager/Additional Voices",134
12987,218415,"Additional Voice",135
12987,337166,"Additional Voices",136
13083,56304,"Craps Dealer",137
13505,280803,Dancer,138
13514,352639,"Bit part",139
13553,30959,"Shadow Warrior",140
13661,310141,"Joseph Enforcer",141
13705,273543,"Dancer with Miss Torso",142
13736,204163,"Porsche Owner #1",143
13787,54726,"Proprietor at Shooting Galler",144
14114,70404,Koko,145
14260,131780,Prizefighter,146
14358,17760,"Joey Nichols",147
14411,156234,Newspaperman,148
14519,306312,"Red Eagle",149
14547,287782,"Nose Ring",150
14548,287782,Franco,151
14688,290070,"Auschwitz guard",152
14796,324371,"Destroyed Future Inhabitant",153
14819,123572,"Hindu Youth in Calcutta Stree",154
14854,131780,"Batts' Crew #2",155
15066,129185,Quintus,156
15066,182955,"Det. Michael Breuning",157
15454,270971,"Maitre d'",158
15455,56304,"FBI Agent",159
15596,56044,"Refugee at Rick's",160
15711,326155,"Policeman at Rally",161
15788,14942,"Boy Caretaker 1",162
15814,280803,Driver,163
15851,54726,"Ivan the Architect",164
15851,256632,Pintel,165
16011,326155,Melio,166
16133,129439,Manny,167
16152,14110,"Ninja 5",168
16404,131240,"Dying soldier",169
16669,46169,Mornay,170
16791,117874,"Himself (steps onto Moon)",171
16801,334212,Man,172
16803,313479,Ewok,173
16844,10920,Lydecker,174
17037,328277,"Future Coda man",175
17057,62076,"Farmer in the Valley",176
17064,221130,"Jim Taylor",177
17201,221130,Reporter,178
17317,287719,"Santa's Helper",179
17322,17760,"Waiter #2 at Nightclub",180
17326,276085,"Newspaper Man on Train",181
17433,267038,"Man #4",182
17438,112290,Intern,183
17438,291698,"Delivery Man",184
17602,287712,"El mago Merlín",185
17677,129439,Martin,186
17946,112290,"BMW Salesman",187
18347,163485,"Nervous banker",188
18347,221130,"Sen. Lancaster",189
18362,129439,"Maitre d'",190
18386,216312,Burglar,191
18544,1711,Ape,192
18603,129185,"Rome Trainer #1",193
18736,70404,"Boss Paul",194
18959,290070,"Klaus Tauber (Gestapo clerk)",195
19022,290070,"Julius Madritsch",196
19081,337166,"Additional Voices",197
19350,131240,"Convalescent soldier",198
19408,86274,"Richard Thornburg",199
19542,13789,"Sale House Man #2",200
19720,235062,"Man at prairie crossing",201
20182,221130,Senator,202
20370,33923,Athenian,203
20464,117874,"Teen with Cross",204
20475,64833,"Street sweeper/Burglar",205
20519,221130,"Inventor at Smith's office do",206
20538,182955,Detective,207
20619,31274,Planetship,208
20729,56304,Himself,209
20926,141544,"Armoured Guard",210
20933,235062,"State Police detective",211
20993,280270,Chiptooth,212
21072,290070,"Chaim Nowak",213
21373,64833,Cop,214
21491,30182,"Baby Bop",215
21496,11440,"Paul Bäumer",216
21578,141544,"Alan Marciano",217
21822,56304,"Nicky Santoro Jr. (7 Yrs)",218
21823,56304,"Nicky Santoro Jr. (10 Yrs)",219
22041,313059,"Lardass Heckler #1",220
22057,256632,"Seedy Prisoner #4",221
22073,123572,"Police Guard",222
22555,2136,"Teen #1",223
22558,127627,"Laundry Customer",224
22585,131240,Corporal,225
22585,163288,"Gas station attendant",226
22591,224842,"Sean Devine",227
22669,270971,"Soda fountain clerk",228
22700,10830,Alien,229
22736,276085,"Party Animal",230
22940,64729,Hillman,231
23076,273543,Songwriter,232
23076,312934,"Singing soldier",233
23343,241141,"Sgt. P. Halloran",234
23488,112290,Ricky,235
23506,221130,"Sen. Hammett",236
23587,121538,Marine,237
23589,352639,"Scottie's doctor",238
23639,129185,Engineer,239
23639,256632,Cotton,240
23694,2136,Carl,241
23776,319516,"Stan Bobbins",242
23987,62076,"Det. Loach",243
24124,232275,"",244
24164,276085,"Southern Doctor",245
24166,64833,Referee,246
24264,70404,Fixer,247
24264,187908,Snyderburn,248
24264,216312,Mitchell,249
24285,232275,Sheriff,250
24298,12937,"Parody Commendatore",251
24298,313478,R2-D2,252
24298,313479,R2-D2/Paploo,253
24424,182955,"Matt Reynolds",254
24476,11440,Albert,255
24476,131240,"Mounted officer",256
24624,13789,"Jim Olmeyer",257
24973,141544,"Children's Hospital Doctor",258
24997,280270,"Fight Announcer",259
24997,281937,Salesman,260
25000,121538,"Animal Mother",261
25018,54726,"Don Motti",262
25064,312934,Johnson,263
25088,281937,"Mr. Wees",264
25103,30959,"Bruce Wayne/Batman",265
25348,313479,Ewok,266
25407,200521,"WDKK Medic",267
25458,280803,"Embassy staffer",268
25652,969,"Juror #1",269
25652,216312,"James Arthur Cummings",270
25652,240922,"Gilette, Glover's colleague",271
25652,266574,"Det. Milton Arbogast",272
25664,131780,"Henry's '70s Crew",273
25715,17760,"Alvy's Classmate",274
25743,276217,"Marvin Nash",275
25889,113504,Anchor,276
26018,109093,"Bismarck Cop #2",277
26035,17760,Maharishi,278
26409,46169,"The Leper, Robert Bruce Sr.",279
26409,123572,"Senior Police Officer Fields",280
26505,117874,"Local Correspondent #2",281
27045,216964,Worker,282
27124,131780,Bouncer,283
27427,313479,"Jabba Puppeteer",284
27472,281937,"Sun-browned man",285
27540,131240,"",286
27601,313479,"Stardestroyer controller #1",287
28036,121538,Marine,288
28280,270971,"Sugar Ray Robinson (first Rob",289
28330,216312,"Det. Tyzack",290
28352,32178,"Villager/Additional Voices",291
28390,256632,Mullroy,292
28427,289109,"Soldier on the Beach",293
28461,11440,"Assistant Cook",294
28734,91758,"Nino Zachetti",295
28790,257459,Medic,296
28885,14942,"Man 2",297
28912,257459,"Fu Sheng",298
29005,289558,"Cuban refugee",299
29036,54726,"Kid with Beanie",300
29136,324371,"Gen Corp. Guard",301
29346,235062,"Taxi driver #2",302
29559,307913,Beinstock,303
29707,163485,"Mr. Potter",304
29849,153985,"Joe Holden",305
29902,127627,Brian,306
29999,273543,"Man with Miss Torso",307
30458,280803,"Embassy staffer",308
30756,216312,Child,309
30801,270971,"Referee (Dauthuille fight)",310
30841,218346,"",311
31025,13978,Guard,312
31026,336683,"Young Delinquent",313
31092,306032,Waterboy,314
