name,gender,birth_date,birth_country,country,country_code,discipline,discipline_code,residence_country,height_m/ft
AALERUD Katrine,Female,1994-12-04,Norway,Norway,NOR,Cycling Road,CRD,NA,NA
ABAD Nestor,Male,1993-03-29,Spain,Spain,ESP,Artistic Gymnastics,GAR,Spain,1.65/5'4''
ABAGNALE Giovanni,Male,1995-01-11,Italy,Italy,ITA,Rowing,ROW,Italy,1.98/6'5''
ABALDE Alberto,Male,1995-12-15,Spain,Spain,ESP,Basketball,BKB,NA,2.00/6'6''
ABALDE Tamara,Female,1989-02-06,Spain,Spain,ESP,Basketball,BKB,NA,1.92/6'3''
ABALO Luc,Male,1984-09-06,France,France,FRA,Handball,HBL,NA,1.83/6'0''
ABAROA Cesar,Male,1996-11-18,Chile,Chile,CHI,Rowing,ROW,Chile,1.79/5'10''
ABASS Abobakr,Male,1998-11-01,NA,Sudan,SUD,Swimming,SWM,NA,NA
ABBAGNALE Vincenzo,Male,1993-03-13,NA,Italy,ITA,Rowing,ROW,NA,1.87/6'1''
ABBASALI Hamideh,Female,1990-03-14,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Karate,KTE,NA,NA
ABBASOV Islam,Male,1996-03-24,Azerbaijan,Azerbaijan,AZE,Wrestling,WRE,NA,NA
ABBINGH Lois,Female,1992-08-13,Netherlands,Netherlands,NED,Handball,HBL,Russian Federation,1.77/5'9''
ABBOT Emily,Female,1997-02-28,Australia,Australia,AUS,Rhythmic Gymnastics,GRY,Australia,1.60/5'2''
ABBOTT Monica,Female,1985-07-28,United States of America,United States of America,USA,Baseball/Softball,BSB,United States of America,1.91/6'3''
ABDALLA Abubaker Haydar,Male,1996-08-28,Sudan,Qatar,QAT,Athletics,ATH,NA,NA
ABDALRASOOL Mohamed,Male,1993-07-24,NA,Sudan,SUD,Judo,JUD,NA,NA
ABDEL LATIF Radwa,Female,1989-10-15,NA,Egypt,EGY,Shooting,SHO,NA,NA
ABDEL RAZEK Samy,Male,1980-04-10,Egypt,Egypt,EGY,Shooting,SHO,NA,NA
ABDELAAL Mohamed,Male,1990-07-23,NA,Egypt,EGY,Judo,JUD,NA,NA
ABDELAZIZ Abdalla,Male,1999-03-29,NA,Egypt,EGY,Karate,KTE,NA,NA
ABDELAZIZ Farah,Female,1992-09-01,NA,Egypt,EGY,Table Tennis,TTE,NA,NA
ABDELAZIZ Feryal,Female,1999-02-16,NA,Egypt,EGY,Karate,KTE,Egypt,NA
ABDELMAWGOUD Mohamed,Male,1994-06-10,NA,Egypt,EGY,Judo,JUD,NA,NA
ABDELMOTTALEB Diaaeldin Kamal Gouda,Male,1993-05-02,NA,Egypt,EGY,Wrestling,WRE,NA,NA
ABDELRAHMAN Ihab,Male,1989-05-01,Egypt,Egypt,EGY,Athletics,ATH,NA,NA
ABDELSALAM Mohamed,Male,1997-10-01,Egypt,Egypt,EGY,Football,FBL,NA,1.77/5'9''
ABDELSALAM Nour,Female,1993-03-29,NA,Egypt,EGY,Taekwondo,TKW,NA,NA
