name,gender,birth_date,country_code,discipline,function,event
ABDELMAGID Wael,Male,1982-08-02,EGY,Football,Head Coach,NA
ABE Junya,Male,1990-07-25,JPN,Volleyball,Head Coach,NA
ABE Katsuhiko,Male,1979-09-23,JPN,Basketball,Coach,NA
ADAMA Cherif,Male,1962-05-06,CIV,Football,Head Coach,NA
AGEBA Yuya,Male,1983-09-30,JPN,Volleyball,Head Coach,NA
AIKMAN Siegfried Gottlieb,Male,1959-04-28,JPN,Hockey,Head Coach,Men
AL SAADI Kais,Male,1976-11-06,GER,Hockey,Head Coach,Men
ALAMEDA Lonni,Female,1970-06-11,CAN,Baseball/Softball,Coach,Softball
ALEKNO Vladimir,Male,1966-12-04,IRI,Volleyball,Head Coach,Men
ALEKSEEV Alexey,Male,1965-03-05,ROC,Handball,Coach,Women
ALLER CARBALLO Manuel Angel,Male,1963-04-17,ESP,Basketball,Coach,NA
ALSHEHRI Saad,Male,1980-01-10,KSA,Football,Head Coach,Men
ALY Kamal,Male,1961-09-29,EGY,Football,Head Coach,NA
AMAYA GAITAN Fabian,Male,1984-01-17,PUR,Basketball,Coach,NA
AMO AGUADO Pablo,Male,1978-01-15,ESP,Football,Head Coach,NA
ANDONOVSKI Vlatko,Male,1976-09-14,USA,Football,Head Coach,Women
ANNAN Alyson,Female,1973-06-21,NED,Hockey,Head Coach,Women
ARNAU CREUS Xavier,Male,1973-03-20,JPN,Hockey,Head Coach,Women
ARNOLD Graham,Male,1963-08-03,AUS,Football,Head Coach,Men
ARZATE Martin,Male,1960-01-16,MEX,Baseball/Softball,Coach,NA
AXNER Tomas,Male,1969-11-30,SWE,Handball,Coach,Women
BABER Gareth Colin,Male,1972-05-23,FIJ,Rugby Sevens,Head Coach,Men
BACIU Horatiu,Male,1994-03-19,ROU,Football,Head Coach,NA
BANBULA Wojciech,Male,1988-12-25,POL,Volleyball,Head Coach,NA
BAO Zhuang,Male,1970-02-25,CHN,Volleyball,Head Coach,NA
BARYLA Pawel,Male,1984-06-05,ROC,Volleyball,Head Coach,NA
BASILIO Mel,Female,1981-03-03,CAN,Baseball/Softball,Coach,Softball
BASSO Paola,Female,1970-08-09,GBR,Artistic Swimming,Coach,Duet
BATCH Colin,Male,1958-03-27,AUS,Hockey,Head Coach,Men
BATISTA Fernando,Male,1970-08-20,ARG,Football,Head Coach,Men
BATISTA SANTIAGO Gerardo,Male,1970-12-21,PUR,Basketball,Coach,Women
BELTRAN Rigoberto,Male,1969-11-13,MEX,Baseball/Softball,Coach,Baseball
