medal_date,athlete_name,country_code,discipline_code,event,Gold,Silver,Bronze
2021-07-24T00:00:00Z,KIM Je Deok,KOR,ARC,Mixed Team,1,0,0
2021-07-24T00:00:00Z,AN San,KOR,ARC,Mixed Team,1,0,0
2021-07-24T00:00:00Z,SCHLOESSER Gabriela,NED,ARC,Mixed Team,0,1,0
2021-07-24T00:00:00Z,WIJLER Steve,NED,ARC,Mixed Team,0,1,0
2021-07-24T00:00:00Z,ALVAREZ Luis,MEX,ARC,Mixed Team,0,0,1
2021-07-24T00:00:00Z,VALENCIA Alejandra,MEX,ARC,Mixed Team,0,0,1
2021-07-24T00:00:00Z,CARAPAZ Richard,ECU,CRD,Men's Road Race,1,0,0
2021-07-24T00:00:00Z,van AERT Wout,BEL,CRD,Men's Road Race,0,1,0
2021-07-24T00:00:00Z,POGACAR Tadej,SLO,CRD,Men's Road Race,0,0,1
2021-07-24T00:00:00Z,SZILAGYI Aron,HUN,FEN,Men's Sabre Individual,1,0,0
2021-07-24T00:00:00Z,SAMELE Luigi,ITA,FEN,Men's Sabre Individual,0,1,0
2021-07-24T00:00:00Z,KIM Junghwan,KOR,FEN,Men's Sabre Individual,0,0,1
2021-07-24T00:00:00Z,SUN Yiwen,CHN,FEN,Women's &Eacute;p&eacute;e Individual,1,0,0
2021-07-24T00:00:00Z,POPESCU Ana Maria,ROU,FEN,Women's &Eacute;p&eacute;e Individual,0,1,0
2021-07-24T00:00:00Z,LEHIS Katrina,EST,FEN,Women's &Eacute;p&eacute;e Individual,0,0,1
2021-07-24T00:00:00Z,TAKATO Naohisa,JPN,JUD,Men -60 kg,1,0,0
2021-07-24T00:00:00Z,YANG Yung Wei,TPE,JUD,Men -60 kg,0,1,0
2021-07-24T00:00:00Z,MKHEIDZE Luka,FRA,JUD,Men -60 kg,0,0,1
2021-07-24T00:00:00Z,SMETOV Yeldos,KAZ,JUD,Men -60 kg,0,0,1
2021-07-24T00:00:00Z,KRASNIQI Distria,KOS,JUD,Women -48 kg,1,0,0
2021-07-24T00:00:00Z,TONAKI Funa,JPN,JUD,Women -48 kg,0,1,0
2021-07-24T00:00:00Z,BILODID Daria,UKR,JUD,Women -48 kg,0,0,1
2021-07-24T00:00:00Z,MUNKHBAT Urantsetseg,MGL,JUD,Women -48 kg,0,0,1
2021-07-24T00:00:00Z,FOROUGHI Javad,IRI,SHO,10m Air Pistol Men,1,0,0
2021-07-24T00:00:00Z,MIKEC Damir,SRB,SHO,10m Air Pistol Men,0,1,0
